"Credit Card Name","Nome impresso no cartão"
"Credit Card Number","Número do cartão"
"Credit Card Expiry","Validade"
"Card Verification Number","Código de segurança"
"Installment","Número de parcelas"
"Insufficient funds","Saldo insuficiente"
"Customer document number is not allowed to be empty","O número do documento do cliente não pode ficar vazio"
"District is not allowed to be empty","O campo distrito não pode ficar vazio"
"Entry amount greater than or equal to the transaction amount","Valor da entrada maior ou igual ao valor da transação"
"Invalid installment value","Valor de parcela inválido"
"Contact issuer","Contactar emissor"
"Invalid NSU","NSU Inválido"
"Invalid card issue date","Data de emissão do cartão inválida"
"Invalid expiration date","Data de expiração inválida"
"Transaction undone","Transação desfeita"
"Invalid authentication","Autenticação inválida"
"Invalid authorization","Autorização inválida"
"Invalid pre-authorization","Pré-autorização inválida"
"Format error","Erro de formato"
"Contact the institution","Entre em contato com a instituição"
"Negative parameterized response","Resposta parametrizada negativa"
"Pending verification","Verificação pendente"
"Transaction canceled","Transação cancelada"
"Transaction not allowed in this cycle","Transação não permitida neste ciclo"
"Reversed transaction","Transação estornada"
"Card required in the transaction","Cartão necessário na transação"
"Generic rejection","Rejeição genérica"
"Invalid form of payment","Forma de pagamento inválida"
"Invalid card digit","Dígito do cartão inválido"
"Repeated transaction","Transação repetida"
"Card number does not match","O número do cartão não corresponde"
"Non-cancelable transaction","Transação não cancelável"
"Transaction already canceled","Transação já cancelada"
"Invalid data at cancellation","Dados de cancelamento inválidos"
"Invalid cancellation amount","Valor de cancelamento inválido"
"Invalid Card","Cartão inválido"
"Exceeds date","Excede a data"
"Invalid cancellation","Cancelamento inválido"
"Use the debit function","Use a função débito"
"Use the credit function","Use a função crédito"
"Transaction already completed","Transação já concluída"
"Unauthorized card transaction","Transação de cartão não autorizada"
"Out of time allowed","Fora do tempo permitido"
"Authorization is already being processed","A autorização já está sendo processada"
"Authorization to confirm receipt","Autorização para confirmar o recebimento"
"Customer not registered","Cliente não registrado"
"Ask the carrier to call the issuer","Peça à operadora para ligar para o emissor"
"Invalid card or product not enabled","Cartão ou produto inválido não ativado"
"Transaction not processed","Transação não processada"
"Value not informed","Valor não informado"
"Invalid card","Cartão inválido"
"Card expired","Cartão expirado"
"Invalid param","Parâmetro inválido"
"Security code is invalid","Código de segurança inválido"
"Invalid flag","Bandeira inválida"
"Operation not allowed","Operação não permitida"
"Invalid data","Dados inválidos"
"Minimum installment value is invalid","O valor mínimo da parcela é inválido"
"Invalid number of installments","Número de parcelas inválido"
"Number of installments exceeds limit","Número de parcelas excede o limite"
"Installments not allowed","Parcelas não permitidas"
"Invalid currency code","Código de moeda inválido"
"Flag does not belong to the network","O sinalizador não pertence à rede"
"User authentication error","Erro de autenticação do usuário"
"Denied by the issuer","Negado pelo emissor"
"Invalid establishment","Estabelecimento inválido"
"Unauthorized request","Solicitação não autorizada"
"Request identification","Solicitar identificação"
"Transaction in progress","Transação em andamento"
"Invalid transaction","Transação inválida"
"Invalid transaction amount","Valor de transação inválido"
"Redo the transaction","Refazer transação"
"Restricted card","Cartão restrito"
"Lost card","Cartão perdido"
"Stolen card","Cartão roubado"
"Card without registration","Cartão sem registro"
"Transaction not allowed for this customer","Transação não permitida para este cliente"
"Duplicate transaction","Transação duplicada"
"Card blocked","Cartão bloqueado"
"Limit value exceeded","Valor limite excedido"
"Invalid card number","Número do cartão inválido"
"Exceeded credit","Crédito excedido"
"Offline authorizer","Autorizador offline"
"Customer without credit limit","Cliente sem limite de crédito"
"Transaction not authorized by the authorization network","Transação não autorizada pela rede de autorização"
"Integration error","Erro de integração"
"Unauthorized transaction","Transação não autorizada"
"There is a transaction to confirm","Existe uma transação para confirmar"
"Document does not exist to cancel","Documento não existe para cancelar"
"Exceeds the Approval Amount Limit","Excede o limite do valor de aprovação"
"Exceeds Withdrawal Frequency Cap","Excede o limite de frequência de retirada"
"Authorization refused","Autorização recusada"
"Register not found","Registro não encontrado"
"Transaction does not exist","Transação não existe"
"Transaction not available","Transação não disponível"
"Authorization not found","Autorização não encontrada"
"Invalid response","Resposta inválida"
"Local network problem","Problema na rede local"
"Institution temporarily out of operation","Instituição temporariamente fora de operação"
"System malfunction","Mal funcionamento do sistema"
"Database error","Erro no banco de dados"
"Authorizer temporarily blocked","Autorizador bloqueado temporariamente"
"Transaction error","Erro de transação"
"Authorizer not initialized","Autorizador não inicializados"
"Disconnected channel","Canal desconectado"
"Comunication error","Erro de comunicação"
"Internal Server Error","Erro do Servidor Interno"
"Sender System unavailable - Try again","Sistema remetente indisponível - Tente novamente"
"Timeout","Tempo esgotado"
"Internal Timeout","Tempo limite interno"
"Transaction denied by security rule of the Anti-Fraud system","Transação negada pela regra de segurança do sistema antifraude"
"Transaction sent with field amount filled with null or invalid","Transação enviada com o valor do campo preenchido com nulo ou inválido"
"Transaction sent with the required field filled with a null or invalid value","Transação enviada com o campo obrigatório preenchido com um valor nulo ou inválido"
"Credit card details incorrectly filled","Detalhes do cartão de crédito preenchidos incorretamente"
"Credit card issuer did not approve the transaction","O emissor do cartão de crédito não aprovou a transação"
"Unavailability in the Anti-Fraud system. Contact GetNet","Indisponibilidade no sistema antifraude. Entre em contato com a GetNet"
"Save for later use.","Salvar para futuras compras."
"Saved Cards","Cartões Salvos"
"My Saved Cards","Meus Cartões Salvos"
"Final card "," Cartão final "
